State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Below_Primary_Education,Households_with_Internet,Housholds_with_Electric_Lighting,Urban_Households,LPG_or_PNG_Households,Households_with_Car_Jeep_Van,Ownership_Owned_Households,Main_source_of_drinking_water_Un_covered_well_Households,Location_of_drinking_water_source_Away_Households,Main_source_of_drinking_water_River_Canal_Households,Household_size_3_to_5_persons_Households,Total_Power_Parity,sex_ratio,literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,232470,5512,566108,220248,194954,8338,559211,93294,210059,3303,417387,4181,100.15,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,462273,8606,897970,341431,223016,9915,779195,5049,207645,469,644263,5799,97.68,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,522961,13763,944555,395900,324406,16296,815953,8192,140697,548,678054,5926,99.7,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,669420,22411,1297273,406362,479914,25381,1088823,121195,235274,6523,952492,7211,100.58,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,736270,19383,1186028,513113,648568,17424,981115,67710,267760,4238,842985,6981,100.28,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,230962,149034,869721,1066289,581509,124106,437146,913,19270,84,546260,11071,95.35,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,340372,8831,926768,288044,344667,14175,823820,133499,150002,305,649211,5251,100.78,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,295639,8628,668519,201363,219710,11887,616617,46922,152392,4467,512966,3836,101.11,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,618101,30438,1163932,567042,632890,27969,863382,87080,227575,1097,824868,6983,99.23,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,521327,10081,816721,306982,195001,10622,710444,17204,218712,6352,547505,5301,98.77,52.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,2050386,2002642,1940646,419379,6153,757821,161052,136843,12615,800743,5990,254390,2595,541398,4695,97.67,48.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,1523030,1510258,1637137,324267,8635,604719,195479,163074,14362,570933,9627,160481,316,419073,3874,99.16,54.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1759772,1729037,2001019,369537,7715,789225,197433,228818,18927,760789,28731,229084,1096,578886,4468,98.25,57.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,1250641,1300694,1389810,269487,5261,545913,155133,186740,10088,490840,8125,129036,335,379595,3458,104.0,54.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1714764,1682684,1904435,489805,6151,763746,214089,290947,9071,717208,91097,253399,2055,548015,4304,98.13,56.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,1341738,1361376,1495381,291793,3988,615432,149684,149554,5264,610487,199161,187026,10077,464451,3301,101.46,55.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,1161477,1182997,1238388,250446,4453,527736,157056,140361,5002,514227,73701,104524,2591,403386,3103,101.85,53.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1759281,1753295,2065023,314252,12952,828077,288249,237349,15727,761465,67830,210483,507,593070,4762,99.66,59.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1964918,1972048,2652389,595331,12050,1017568,248373,435334,14687,836015,20184,143553,8333,724609,5485,100.36,67.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,76948,71278,73174,20425,170,14593,6498,4762,1102,20141,3501,6042,1748,13892,348,92.63,49.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,38775,39915,38449,11713,57,5318,5215,3583,577,12051,296,4674,1309,6187,348,102.94,49.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,50116,49098,62576,9938,450,14231,9524,4866,2072,11640,733,4260,633,8102,644,97.97,63.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,45318,46758,36606,12661,95,3911,1092,586,605,15458,951,6354,2385,5358,348,103.18,40.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,76221,69505,83062,19306,312,17157,11372,6549,1203,17340,925,5049,1739,15082,348,91.19,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,28053,26027,31849,5875,207,5932,3950,3068,703,5317,154,2319,750,5222,348,92.78,59.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,41843,41187,54057,8492,381,12493,5365,4211,2002,11259,505,2094,600,5721,348,98.43,65.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,89182,87391,121048,15368,2477,30539,30180,22966,6454,15037,2472,4223,1653,16296,644,97.99,69.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,29151,20826,26073,4904,96,8635,2452,3794,895,6820,16,2017,165,4886,348,71.44,52.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,57604,54371,47974,13585,98,16026,6500,3104,679,15861,1425,7206,1627,7974,348,94.39,43.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,18699,16621,18195,3952,97,6198,2182,1504,430,5393,7,848,35,2749,348,88.89,52.0
